,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match
19,8/15/2022,Liverpool,1,0,24,4,7,4,2,1,D,1.285714286,0.714285714,17.42857143,5.142857143,9.285714286,4.714285714,1.714285714,0.142857143,8/15/2022,Crystal Palace,1,1,7,3,8,2,4,0,D,0.857142857,0.428571429,8.285714286,2.428571429,9.857142857,3.857142857,2.142857143,0.285714286
20,8/20/2022,Tottenham,1,0,11,4,10,8,2,0,W,1.571428571,0.285714286,12,4.714285714,11.85714286,5,1.571428571,0.142857143,8/20/2022,Wolves,0,0,20,3,8,6,2,0,L,0.857142857,0.428571429,11,2.714285714,11.57142857,4.571428571,2,0.142857143
21,8/20/2022,Crystal Palace,3,1,17,9,16,4,2,0,W,1.285714286,0.571428571,10.14285714,3.714285714,10.42857143,4.285714286,2.428571429,0,8/20/2022,Aston Villa,1,1,13,5,14,2,1,0,L,1.571428571,0.857142857,11.14285714,4.428571429,11.28571429,3.571428571,1.428571429,0
22,8/20/2022,Everton,1,0,19,8,6,6,3,0,D,0.571428571,0,12.85714286,4.714285714,10.57142857,5.142857143,2.428571429,0,8/20/2022,Nott'm Forest,1,0,14,5,9,2,2,0,D,0.571428571,0.285714286,9,3,8.857142857,3.428571429,1.857142857,0
23,8/20/2022,Fulham,3,2,18,9,13,6,3,0,W,1.285714286,0.571428571,10.85714286,4,11.71428571,3.714285714,2.428571429,0,8/20/2022,Brentford,2,1,13,5,7,3,2,0,L,2.142857143,1.428571429,11.28571429,4.857142857,8.285714286,4,1.428571429,0
24,8/20/2022,Leicester,1,0,6,1,11,2,2,0,L,1.714285714,1,9,2.857142857,11.71428571,2.714285714,1.857142857,0,8/20/2022,Southampton,2,0,9,3,15,5,3,0,W,1,0.285714286,11.28571429,3.571428571,13.71428571,3.428571429,2.714285714,0
25,8/20/2022,Bournemouth,0,0,6,1,12,3,2,0,L,0.428571429,0.142857143,8,2,10.42857143,2.714285714,2.428571429,0,8/20/2022,Arsenal,3,2,14,6,10,4,1,0,W,2.428571429,1.142857143,14.71428571,4.142857143,8.857142857,5.428571429,1,0
26,8/21/2022,Leeds,3,2,12,6,16,4,0,0,W,1.142857143,0.428571429,11.57142857,3.857142857,12,5.142857143,2.142857143,0,8/21/2022,Chelsea,0,0,14,3,15,6,1,1,L,0.714285714,0.571428571,13.71428571,3.571428571,12.14285714,6.285714286,1.714285714,0.142857143
27,8/21/2022,West Ham,0,0,13,3,10,5,2,0,L,0.857142857,0.285714286,13.71428571,3.142857143,10,6.571428571,1,0,8/21/2022,Brighton,2,1,11,2,7,4,0,0,W,1.285714286,0.428571429,14,5.428571429,9.857142857,6.142857143,1.571428571,0
28,8/21/2022,Newcastle,3,2,12,6,14,5,4,0,D,1.142857143,1,11.57142857,4.285714286,9,5.428571429,2.285714286,0.142857143,8/21/2022,Man City,3,1,21,10,7,5,2,0,D,2.571428571,1.714285714,18.14285714,6.857142857,10.42857143,7,1.571428571,0
29,8/22/2022,Man United,2,1,12,4,11,6,3,0,W,1.714285714,0.428571429,16.85714286,5.571428571,10.71428571,4.714285714,1.857142857,0.142857143,8/22/2022,Liverpool,1,0,17,5,7,8,1,0,L,1.142857143,0.428571429,16.85714286,5.142857143,9.142857143,5.285714286,1.857142857,0.142857143
30,8/27/2022,Southampton,0,0,17,5,4,5,0,0,L,0.857142857,0.285714286,12.42857143,3.857142857,12.42857143,3.571428571,2.571428571,0,8/27/2022,Man United,1,0,11,6,14,3,3,0,W,1.714285714,0.428571429,16.14285714,5.571428571,11.14285714,4.428571429,1.857142857,0.142857143
